mass_bin,M_star_Msun,R_kpc,sigma_los_kms,sigma_err_lo_kms,sigma_err_hi_kms
low,7.2e10,33.0,149.5,15.0,15.0
low,7.2e10,49.6,144.0,12.0,12.0
low,7.2e10,66.3,140.0,10.5,10.5
low,7.2e10,83.0,136.0,10.0,10.0
low,7.2e10,99.6,131.0,10.0,10.0
low,7.2e10,116.3,128.0,10.0,10.0
low,7.2e10,132.9,125.0,10.0,10.0
low,7.2e10,149.6,122.0,10.0,10.0
low,7.2e10,166.3,120.0,9.5,9.5
low,7.2e10,182.9,118.0,9.5,9.5
low,7.2e10,199.6,116.0,9.5,9.5
low,7.2e10,216.3,113.0,10.0,10.0
low,7.2e10,232.9,111.0,10.0,10.0
low,7.2e10,249.6,110.0,10.0,10.0
low,7.2e10,266.3,109.0,10.0,10.0
low,7.2e10,282.9,108.0,10.0,10.0
low,7.2e10,299.6,107.0,10.0,10.0
low,7.2e10,316.3,106.5,10.0,10.0
low,7.2e10,332.9,106.0,10.0,10.0
mid,1.4e11,33.0,208.0,15.0,15.0
mid,1.4e11,49.7,199.0,11.0,11.0
mid,1.4e11,66.3,191.0,10.5,10.5
mid,1.4e11,83.0,183.0,10.0,10.0
mid,1.4e11,99.7,178.0,9.0,9.0
mid,1.4e11,116.3,172.0,8.5,8.5
mid,1.4e11,133.0,166.0,8.0,8.0
mid,1.4e11,149.7,161.0,7.5,7.5
mid,1.4e11,166.3,157.0,7.0,7.0
mid,1.4e11,183.0,153.0,7.0,7.0
mid,1.4e11,199.7,150.0,7.4,7.5
mid,1.4e11,216.3,148.0,8.0,8.0
mid,1.4e11,233.0,145.0,8.0,8.0
mid,1.4e11,249.7,143.0,8.5,8.5
mid,1.4e11,266.3,141.0,8.5,8.5
mid,1.4e11,283.0,140.0,8.5,8.5
mid,1.4e11,299.7,139.0,9.0,9.0
mid,1.4e11,316.3,138.0,9.0,9.0
mid,1.4e11,333.0,137.0,9.0,9.0
high,2.9e11,33.0,253.0,26.0,7.0
high,2.9e11,49.7,248.0,22.0,12.0
high,2.9e11,66.3,242.0,17.5,17.5
high,2.9e11,83.0,235.0,12.5,12.5
high,2.9e11,99.7,230.0,11.0,11.0
high,2.9e11,116.3,225.0,10.5,10.5
high,2.9e11,133.0,220.0,10.5,10.5
high,2.9e11,149.7,215.0,10.5,10.5
high,2.9e11,166.3,210.0,10.5,10.5
high,2.9e11,183.0,205.0,10.5,10.5
high,2.9e11,199.7,200.0,10.5,10.5
high,2.9e11,216.3,197.0,10.5,10.5
high,2.9e11,233.0,193.0,10.5,10.5
high,2.9e11,249.7,190.0,10.5,10.5
high,2.9e11,266.3,187.0,10.5,10.5
high,2.9e11,283.0,184.0,10.0,10.0
high,2.9e11,299.7,181.0,10.0,10.0
high,2.9e11,316.3,179.0,10.0,10.0
high,2.9e11,333.0,178.0,10.0,10.0
